,50_rmse,50_cc,50_POD,50_FAR,50_CSI,75_rmse,75_cc,75_POD,75_FAR,75_CSI,95_rmse,95_cc,95_POD,95_FAR,95_CSI
"(72,168)",5.762303521490029,0.5506614304046001,0.6746987951807228,0.2112676056338028,0.5714285714285714,7.663048925592165,0.44116332860340335,0.6428571428571429,0.25,0.5294117647058824,12.462749437068325,-0.23626988403990595,0.0,,0.0
"(72,169)",6.62231889160446,0.43902168210767906,0.6626506024096386,0.19117647058823528,0.5729166666666666,8.98066332241959,0.23377945421703022,0.6428571428571429,0.3076923076923077,0.5,7.4937164294691865,-0.05997588612348553,0.0,,0.0
"(72,170)",6.90281400945569,0.4644511496940852,0.7108433734939759,0.18055555555555555,0.6145833333333334,9.396395699104328,0.27411982788152606,0.5952380952380952,0.3055555555555556,0.4716981132075472,7.988064737902949,-0.10375572510318412,0.0,,0.0
"(72,171)",7.059083392164749,0.4701585118901744,0.7108433734939759,0.1917808219178082,0.6082474226804123,9.617247650655504,0.3049669369228101,0.5952380952380952,0.2857142857142857,0.4807692307692308,8.564310310591162,-0.08630545284626152,0.0,,0.0
"(72,172)",6.581034768285702,0.5146978143007459,0.6987951807228916,0.17142857142857143,0.6105263157894737,8.940468153428844,0.37496004013161494,0.5476190476190477,0.3235294117647059,0.4339622641509434,12.329679892519154,-0.20266555379509701,0.0,,0.0
"(72,173)",6.034396329259161,0.6060406403309129,0.6746987951807228,0.18840579710144928,0.5833333333333334,8.485398061379371,0.3884273487346972,0.47619047619047616,0.2,0.425531914893617,9.235563185275058,0.6062867033115695,0.0,,0.0
"(72,174)",6.1002124125466715,0.5549316478506733,0.6506024096385542,0.15625,0.5806451612903226,8.687441678793768,0.2905615826962147,0.47619047619047616,0.2,0.425531914893617,10.521341773850116,0.26254135279898033,0.0,,0.0
"(72,175)",5.60212736888381,0.518734852785738,0.6506024096385542,0.15625,0.5806451612903226,7.808780768920707,0.26187344514884986,0.5,0.2222222222222222,0.4375,6.73906283394281,0.49926884449972625,0.0,,0.0
"(72,176)",5.538681143096284,0.523024679671611,0.6506024096385542,0.18181818181818182,0.5684210526315789,7.914520072206058,0.294988678978149,0.5,0.25,0.42857142857142855,10.873793651635316,0.3833250279743053,0.0,,0.0
"(72,177)",4.931640854462747,0.5232539998384106,0.6746987951807228,0.2,0.5773195876288659,6.990538125843292,0.3314609402855495,0.47619047619047616,0.2857142857142857,0.4,9.459468729170396,0.47567173263053214,0.0,,0.0
"(72,178)",4.19950907243368,0.5286279523937888,0.7108433734939759,0.21333333333333335,0.5959595959595959,6.002126979644264,0.3246607515296364,0.47619047619047616,0.3333333333333333,0.38461538461538464,8.537669659745477,0.33625004946648523,0.0,,0.0
"(72,179)",3.6529339431624,0.5409219878227365,0.8192771084337349,0.19047619047619047,0.6868686868686869,4.959824117891479,0.3636405236693303,0.47619047619047616,0.3548387096774194,0.37735849056603776,6.217927038027772,0.2644747492717299,0.0,,0.0
"(72,180)",3.216148086316151,0.563091135906569,0.8313253012048193,0.17857142857142858,0.7040816326530612,4.334943328415238,0.3929217060283656,0.6190476190476191,0.2571428571428571,0.5098039215686274,4.642950341749014,0.23508175195571357,0.0,,0.0
"(72,181)",2.7442407983702592,0.5825878167734604,0.7349397590361446,0.1527777777777778,0.648936170212766,3.7253475249334627,0.42157097397066545,0.5952380952380952,0.21875,0.5102040816326531,3.977097126039055,0.4674291685926498,0.1111111111111111,0.5,0.1
"(72,182)",2.6227533612868266,0.6554761246824391,0.7228915662650602,0.13043478260869565,0.6521739130434783,3.515430942897431,0.5898277775803645,0.6904761904761905,0.23684210526315788,0.5686274509803921,6.448521688086191,0.32383450133548636,0.3333333333333333,0.5,0.25
"(72,183)",3.1704966511179817,0.6599078550339134,0.8192771084337349,0.10526315789473684,0.7472527472527473,4.371247934799691,0.6303539972303772,0.6904761904761905,0.21621621621621623,0.58,9.051431494397454,0.5110041464354579,0.4444444444444444,0.5,0.3076923076923077
"(72,184)",4.080170613673253,0.6341828974618904,0.8072289156626506,0.0821917808219178,0.7528089887640449,5.515002266290199,0.6128210067421027,0.6428571428571429,0.2702702702702703,0.5192307692307693,11.938337763759826,0.5795465994035923,0.5555555555555556,0.4444444444444444,0.38461538461538464
"(72,185)",4.959721675298376,0.6478885711151394,0.8433734939759037,0.07894736842105263,0.7865168539325843,6.924851980522978,0.6670106184615794,0.6190476190476191,0.2777777777777778,0.5,14.740661716988937,0.7000947758080341,0.5555555555555556,0.4444444444444444,0.38461538461538464
"(72,186)",3.409797956950858,0.74171893850368,0.8192771084337349,0.09333333333333334,0.7555555555555555,4.982662815925938,0.7762522338620337,0.6190476190476191,0.38095238095238093,0.4482758620689655,10.411277063221963,0.8040748075790198,0.6666666666666666,0.3333333333333333,0.5
"(72,187)",1.8746668813587175,0.7742470073268913,0.7951807228915663,0.08333333333333333,0.7415730337078652,2.4665082759561194,0.7862438277222622,0.6428571428571429,0.37209302325581395,0.46551724137931033,4.466848165265348,0.8622213415447398,0.5555555555555556,0.4444444444444444,0.38461538461538464
"(72,188)",1.756926341050125,0.7367294566814128,0.7831325301204819,0.09722222222222222,0.7222222222222222,2.1526279287784247,0.7760408708259895,0.6190476190476191,0.3953488372093023,0.4406779661016949,3.4715980538081816,0.9178732021918378,0.4444444444444444,0.5555555555555556,0.2857142857142857
"(72,189)",1.8432482152755916,0.7014795282479183,0.8554216867469879,0.10126582278481013,0.7802197802197802,2.091454977997622,0.7882026097717074,0.6190476190476191,0.4583333333333333,0.40625,3.4697016945510604,0.9311760599048512,0.5555555555555556,0.5,0.35714285714285715
"(72,190)",2.045064976145344,0.661539684433792,0.8674698795180723,0.08860759493670886,0.8,2.162616679062616,0.7889779779159518,0.6428571428571429,0.4489795918367347,0.421875,3.5943913757229504,0.83804130742046,0.5555555555555556,0.5,0.35714285714285715
"(72,191)",2.1041683008648637,0.6665904700109337,0.8674698795180723,0.1111111111111111,0.782608695652174,2.218657378564502,0.8070691612238576,0.7142857142857143,0.4117647058823529,0.47619047619047616,3.8272744248442097,0.8295852915608443,0.5555555555555556,0.5,0.35714285714285715
